Plant type,EE,FI,AT,BE,BG,CY,CZ,DE,DK,ES,FR,EL,HR,HU,IE,IT,LT,LU,LV,NL,PL,PT,RO,SE,SI,SK,MT,EU27_2020
Hydro river,0.0,0.0,2204.323125699896,0.0,0.0,0.0,0.0,4126.150742736209,0.0,1062.5276967243358,0.0,0.0,1821.931132575097,3775.862068965547,0.0,1827.7287760868,0.0,0.0,1328.2709077807783,0.0,0.0,1029.2678124234687,0.0,0.0,3999.722534471816,0.0,0.0,1815.5553341072757
Hydro mountain,3166.6666666666915,3934.265125118815,3523.0666550487344,8000.0,1345.3755443752966,0.0,2902.676059772113,6594.633938172289,2334.4348065537843,1698.188371183873,2570.3951712316853,1187.249413833538,2911.907399661511,0.0,4775.96225972812,2921.17350239201,8100.000000000064,8000.0,0.0,2004.9174174174327,2735.9850004129767,1645.030652170259,2427.054859820216,3972.360588020928,0.0,2837.3680943513573,0.0,2901.7172588788712
Concentrated solar plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2466.565943855371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2464.3294491488873
Waste incinerator,159.08994708994834,748.2246376811653,604.7687435056291,3101.430842607338,0.0,0.0,0.0,2616.883116883138,0.0,5366.505179381402,2506.7295397956345,0.0,0.0,910.4477611940372,7449.038698297045,2684.236467431213,0.0,7243.075684380089,0.0,0.0,0.0,7192.913657901863,3.838982121311866,0.0,0.0,2090.909090909108,0.0,1783.877919054756
Coal gas CHP,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0,5320.0
Biogas CHP,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0,8500.0
Gas Turbine CHP,5874.735919838144,1835.070323811696,1306.5025626208026,5450.567492772276,6558.464925,0.0,6849.656154117295,5229.668569101167,1106.17873261127,6555.214355972512,2821.6208936647995,8000.0,3781.132219236089,4353.789173839995,6480.44812255111,4676.730363637703,8000.0,0.0,0.0,4507.878708005413,8402.91015163532,6310.32551626667,8000.0,0.0,4677.797951708995,7504.125799063319,0.0,4568.860254
Lignite plant for district heat (CHP),5874.735919838144,3629.331125754378,0.0,0.0,2734.956713679646,0.0,1053.9162047737975,601.8143135338969,0.0,0.0,0.0,2478.3135156559847,2139.301310043685,2649.04761904764,4166.526904262787,0.0,0.0,0.0,8088.650570401691,0.0,4099.990908544498,0.0,1548.8645034453466,4861.012576588236,522.7809593356848,1672.9599076457,0.0,2225.386803497796
Oil shale CHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste CHP,5874.735919838143,3629.331125754378,2299.461464374697,4501.033962741257,2734.9567136796454,0.0,1053.9162047737975,601.8143135338968,2645.282572162376,5959.090909090956,3913.137654508194,2478.3135156559847,0.0,2649.04761904764,0.0,2641.4940021810467,451.84824902724097,0.0,0.0,3899.5492983675545,4099.990908544499,3220.7620682480488,0.0,4861.012576588236,522.7809593356848,1672.9599076457,0.0,2225.386803497796
Small-scale gas plant for district heat (CHP),4500.0,0.0,1306.5025626208028,5450.567492772276,8000.0,0.0,6849.656154117297,0.0,1106.17873261127,6555.214355972511,2821.6208936647995,0.0,3781.132219236089,4353.789173839995,6480.44812255111,4676.730363637703,8000.0,2168.165421870101,2848.684456741837,4507.878708005413,8402.910151635322,6310.32551626667,8000.0,4085.4575355339575,4677.797951708995,7504.125799063318,0.0,4589.253604417686
Gas motor CHP,620.0,0.0,1306.5025626208028,5450.567492772276,8000.0,0.0,6849.656154117297,0.0,1106.17873261127,6555.214355972511,2821.6208936647995,0.0,3781.132219236089,4353.789173839995,6480.44812255111,4676.730363637703,8000.0,2168.165421870101,2848.684456741837,4507.878708005413,8402.910151635322,6310.32551626667,8000.0,4085.4575355339575,4677.797951708995,7504.125799063318,0.0,4589.253604417686
Large-scale gas plant for district heat (CHP),0.0,1835.0703238116964,1306.5025626208028,5450.567492772275,8000.0,0.0,6849.656154117297,5229.668569101167,1106.17873261127,6555.214355972511,2821.6208936647995,0.0,0.0,4353.789173839995,0.0,4676.730363637702,0.0,0.0,2848.684456741838,4507.878708005413,8402.91015163532,6310.32551626667,8000.0,4085.457535533958,0.0,7504.125799063318,0.0,4589.253604417687
Gas CHP (CCGT),0.0,1835.0703238116964,1306.5025626208028,5450.567492772275,8000.0,0.0,6849.656154117297,5229.668569101167,1106.17873261127,6555.214355972511,2821.6208936647995,0.0,0.0,4353.789173839995,0.0,4676.730363637702,0.0,0.0,2848.684456741838,4507.878708005413,8402.91015163532,6310.32551626667,8000.0,4085.457535533958,0.0,7504.125799063318,0.0,4589.253604417687
Coal plant for district heat (CHP),0.0,3629.331125754378,2299.461464374697,4501.033962741258,2734.956713679645,0.0,1053.9162047737975,601.8143135338968,2645.282572162376,5959.090909090955,3913.1376545081935,0.0,0.0,2649.04761904764,0.0,2641.4940021810467,0.0,0.0,8088.65057040169,3899.5492983675545,4099.990908544499,0.0,1548.8645034453468,4861.012576588235,522.7809593356847,1672.9599076457002,0.0,2225.3868034977963
Coal CHP,0.0,3629.331125754378,2299.461464374697,4501.033962741258,2734.956713679645,0.0,1053.9162047737975,601.8143135338968,2645.282572162376,5959.090909090955,3913.1376545081935,0.0,0.0,2649.04761904764,0.0,2641.4940021810467,0.0,0.0,8088.65057040169,3899.5492983675545,4099.990908544499,0.0,1548.8645034453468,4861.012576588235,522.7809593356847,1672.9599076457002,0.0,2225.3868034977963
Biomass CHP - residential,5874.735919838143,3629.331125754378,2299.461464374697,4501.033962741257,2734.9567136796454,0.0,1053.9162047737975,601.8143135338968,2645.282572162376,5959.090909090955,3913.137654508193,2478.3135156559847,2139.3013100436856,2649.04761904764,4166.526904262787,2641.494002181047,451.848249027241,4600.060812649068,8088.65057040169,3899.549298367554,4099.990908544498,3220.7620682480483,1548.8645034453464,4861.012576588235,522.7809593356847,1672.9599076457,0.0,2225.386803497796
Biomass CHP - industrial,5874.735919838143,3629.331125754378,2299.461464374697,4501.033962741257,2734.9567136796454,0.0,1053.9162047737975,601.8143135338968,2645.282572162376,5959.090909090955,3913.137654508193,2478.3135156559847,2139.3013100436856,2649.04761904764,4166.526904262787,2641.494002181047,451.848249027241,4600.060812649068,8088.65057040169,3899.549298367554,4099.990908544498,3220.7620682480483,1548.8645034453464,4861.012576588235,522.7809593356847,1672.9599076457,0.0,2225.386803497796
Geothermal - residential,0.0,0.0,218.57923497267933,0.0,0.0,0.0,0.0,4925.000000000039,0.0,0.0,7955.779153766834,0.0,8000.0,6000.000000000047,0.0,7918.325317066239,0.0,0.0,0.0,0.0,0.0,7400.687285223426,0.0,0.0,0.0,0.0,0.0,7762.888987636713
Geothermal - industrial,0.0,0.0,218.57923497267933,0.0,0.0,0.0,0.0,4925.000000000039,0.0,0.0,7955.779153766834,0.0,8000.0,6000.000000000047,0.0,7918.325317066239,0.0,0.0,0.0,0.0,0.0,7400.687285223426,0.0,0.0,0.0,0.0,0.0,7762.888987636713
