Flow,eurostat_code,world_code,Filter,Comment
Energy sector - liquefaction and regasification plants (LNG) - energy use,NRG_LNG_E,Total energy supply - Energy industry own use - Liquefaction (LNG) / regasification plants,,
Energy sector - gasification plants for biogas - energy use,NRG_BIOG_E,Total energy supply - Energy industry own use - Gasification plants for biogases,,
Energy sector - gas-to-liquids plants - energy use,NRG_GTL_E,Total energy supply - Energy industry own use - Gas-to-liquids (GTL) plants,,
Energy sector - charcoal production plants - energy use,NRG_CPP_E,Total energy supply - Energy industry own use - Charcoal production plants,,
Energy sector - not elsewhere specified - energy use,NRG_NSP_E,Total energy supply - Energy industry own use - Non-specified (energy),,
Distribution losses,DL,Total energy supply - Losses,,
Available for final consumption,AFC,,,????
Final consumption - non-energy use,FC_NE,Total energy supply - Total final consumption - Non-energy use,,
"Transformation input, energy sector and final consumption in industry sector - non-energy use",TI_NRG_FC_IND_NE,Total energy supply - Total final consumption - Non-energy use industry/transformation/energy,,
Transformation input - non-energy use,TI_NE,,,????
Energy sector - non-energy use,NRG_NE,Total energy supply - Total final consumption - Non-energy use,,????
Final consumption - industry sector - non-energy use,FC_IND_NE,Total energy supply - Total final consumption - Memo: Non-energy use in industry,,
Final consumption - transport sector - non-energy use,FC_TRA_NE,Total energy supply - Total final consumption - Non-energy use in transport,,
Final consumption - other sectors - non-energy use,FC_OTH_NE,Total energy supply - Total final consumption - Non-energy use in other,,
Final consumption - energy use,FC_E,,Summation,????
Final consumption - industry sector - energy use,FC_IND_E,Total energy supply - Total final consumption - Industry,,
Final consumption - industry sector - iron and steel - energy use,FC_IND_IS_E,Total energy supply - Total final consumption - Iron and steel,,
Final consumption - industry sector - chemical and petrochemical - energy use,FC_IND_CPC_E,Total energy supply - Total final consumption - Chemical and petrochemical,,
Final consumption - industry sector - non-ferrous metals - energy use,FC_IND_NFM_E,Total energy supply - Total final consumption - Non-ferrous metals,,
Final consumption - industry sector - non-metallic minerals - energy use,FC_IND_NMM_E,Total energy supply - Total final consumption - Non-metallic minerals,,
Final consumption - industry sector - transport equipment - energy use,FC_IND_TE_E,Total energy supply - Total final consumption - Transport equipment,,
Final consumption - industry sector - machinery - energy use,FC_IND_MAC_E,Total energy supply - Total final consumption - Machinery,,
Final consumption - industry sector - mining and quarrying - energy use,FC_IND_MQ_E,Total energy supply - Total final consumption - Mining and quarrying,,
"Final consumption - industry sector - food, beverages and tobacco - energy use",FC_IND_FBT_E,Total energy supply - Total final consumption - Food and tobacco,,
"Final consumption - industry sector - paper, pulp and printing - energy use",FC_IND_PPP_E,,,????
Final consumption - industry sector - wood and wood products - energy use,FC_IND_WP_E,Total energy supply - Total final consumption - Wood and wood products,,
Final consumption - industry sector - construction - energy use,FC_IND_CON_E,Total energy supply - Total final consumption - Construction,,
Final consumption - industry sector - textile and leather - energy use,FC_IND_TL_E,Total energy supply - Total final consumption - Textile and leather,,
Final consumption - industry sector - not elsewhere specified - energy use,FC_IND_NSP_E,Total energy supply - Total final consumption - Industry not elsewhere specified,,
Final consumption - transport sector - energy use,FC_TRA_E,Total energy supply - Total final consumption - Transport,,
Final consumption - transport sector - rail - energy use,FC_TRA_RAIL_E,Total energy supply - Total final consumption - Rail,,
Final consumption - transport sector - road - energy use,FC_TRA_ROAD_E,Total energy supply - Total final consumption - Road,,
Final consumption - transport sector - domestic aviation - energy use,FC_TRA_DAVI_E,Total energy supply - Total final consumption - Domestic aviation,,
Final consumption - transport sector - domestic navigation - energy use,FC_TRA_DNAVI_E,Total energy supply - Total final consumption - Domestic navigation,,
Final consumption - transport sector - pipeline transport - energy use,FC_TRA_PIPE_E,Total energy supply - Total final consumption - Pipeline transport,,
Final consumption - transport sector - not elsewhere specified - energy use,FC_TRA_NSP_E,Total energy supply - Total final consumption - Transport not elsewhere specified,,
Final consumption - other sectors - energy use,FC_OTH_E,Total energy supply - Total final consumption - Commercial and public services;Total energy supply - Total final consumption - Residential;Total energy supply - Total final consumption - Agriculture/forestry;Total energy supply - Total final consumption - Fishing;Total energy supply - Total final consumption - Final consumption not elsewhere specified,Summation,
Final consumption - other sectors - commercial and public services - energy use,FC_OTH_CP_E,Total energy supply - Total final consumption - Commercial and public services,,
Final consumption - other sectors - households - energy use,FC_OTH_HH_E,Total energy supply - Total final consumption - Residential,,
Final consumption - other sectors - agriculture and forestry - energy use,FC_OTH_AF_E,Total energy supply - Total final consumption - Agriculture/forestry,,
Final consumption - other sectors - fishing - energy use,FC_OTH_FISH_E,Total energy supply - Total final consumption - Fishing,,
Final consumption - other sectors - not elsewhere specified - energy use,FC_OTH_NSP_E,Total energy supply - Total final consumption - Final consumption not elsewhere specified,,
Statistical differences,STATDIFF,Total energy supply - Statistical differences,,
Gross electricity production,GEP,Electricity output (GWh),,
Gross electricity production - main activity producer electricity only,GEP_MAPE,Electricity output (GWh) - Electricity output (GWh)-main activity producer electricity plants,,
Gross electricity production - main activity producer combined heat and power,GEP_MAPCHP,Electricity output (GWh) - Electricity output (GWh)-main activity producer CHP plants,,
Gross electricity production - autoproducer electricity only,GEP_APE,Electricity output (GWh) - Electricity output (GWh)-autoproducer electricity plants,,
Gross electricity production - autoproducer combined heat and power,GEP_APCHP,Electricity output (GWh) - Electricity output (GWh)-autoproducer CHP plants,,
Gross heat production,GHP,Heat output,,
Gross heat production - main activity producer combined heat and power,GHP_MAPCHP,Heat output - Heat output-main activity producer CHP plants,,
Gross heat production - main activity producer heat only,GHP_MAPH,Heat output - Heat output-main activity producer heat plants,,
Gross heat production - autoproducer combined heat and power,GHP_APCHP,Heat output - Heat output-autoproducer CHP plants,,
Gross heat production - autoproducer heat only,GHP_APH,Heat output - Heat output-autoproducer heat plants,,
Final consumption - industry sector - chemical and petrochemical - non-energy use,FC_IND_CPC_NE,,Summation,????
Maximum gross electricity capacity,MGEC,,,????
Maximum gross electricity capacity in CHP mode,MGEC_CHPM,,,????
Maximum net thermal capacity,MNTC,,,????
